"",0
C02344,C00341
C02462,C00341
C03190,C00341
C06074,C00341
C00521,C00341
C00400,C00341
C00843,C00341
C00964,C00341
C01123,C00341
C02452,C00341
C00553,C00341
C01765,C00341
C00808,C00341
C03092,C00341
C00848,C00341
C04718,C00341
C01767,C00341
C02485,C00341
C01512,C00341
C01433,C00341
C01852,C00341
C06071,C00341
C06066,C00341
C06070,C00341
C20790,C00341
C06308,C00341
C06307,C00341
C11636,C00341
C01957,C00341
C11672,C00341
C11673,C00341
C09769,C00341
C11409,C00341
C11383,C00341
C06099,C00341
C11951,C00341
C09893,C00341
C11952,C00341
C11393,C00341
C09844,C00341
C11389,C00341
C11388,C00341
C01500,C00341
C17621,C00341
C17622,C00341
C09782,C00341
C18025,C00341
C18027,C00341
C04433,C00341
C20221,C00341
C11382,C00341
C06304,C00341
C06305,C00341
C20789,C00341
C20943,C00341
C20944,C00341
C21203,C00341
C09804,C00341
C22014,C00341
C22225,C00341
C03428,C00448
C01841,C00448
C01860,C00448
C02004,C00448
C06394,C00448
C00751,C00448
C01054,C00448
C06083,C00448
C01126,C00448
C03220,C00448
C06080,C00448
C06079,C00448
C08628,C00448
C08616,C00448
C08615,C00448
C12142,C00448
C06310,C00448
C06309,C00448
C16028,C00448
C16143,C00448
C16142,C00448
C16141,C00448
C16269,C00448
C19749,C00448
C07667,C00448
C09684,C00448
C09704,C00448
C16829,C00448
C09629,C00448
C09699,C00448
C09672,C00448
C09723,C00448
C17277,C00448
C09666,C00448
C09665,C00448
C17953,C00448
C17954,C00448
C17955,C00448
C18245,C00448
C08637,C00448
C16286,C00448
C00207,C00448
C19676,C00448
C19678,C00448
C19708,C00448
C09627,C00448
C09382,C00448
C19711,C00448
C09737,C00448
C19732,C00448
C19760,C00448
C19736,C00448
C19740,C00448
C19742,C00448
C19746,C00448
C19748,C00448
C16814,C00448
C16775,C00448
C19747,C00448
C19752,C00448
C19753,C00448
C19755,C00448
C19819,C00448
C19820,C00448
C19828,C00448
C19829,C00448
C19832,C00448
C19833,C00448
C19801,C00448
C19834,C00448
C19835,C00448
C19863,C00448
C19939,C00448
C19973,C00448
C19974,C00448
C20159,C00448
C20163,C00448
C20181,C00448
C19918,C00448
C20187,C00448
C20191,C00448
C20192,C00448
C20193,C00448
C20195,C00448
C20200,C00448
C20478,C00448
C20479,C00448
C03461,C00448
C19908,C00448
C20724,C00448
C01414,C00353
C06089,C00353
