model name,f1_score,precision_score,recall_score,subject
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_0
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_1
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_2
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_3
Layered FP + Ridge Classifier,0.9333333333333333,0.875,1.0,cv_0_task_4
Layered FP + Ridge Classifier,0.8,0.6666666666666666,1.0,cv_0_task_5
Layered FP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_0_task_6
Layered FP + Ridge Classifier,0.8571428571428571,1.0,0.75,cv_0_task_7
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_8
Layered FP + Ridge Classifier,0.8695652173913043,0.9090909090909091,0.8333333333333334,cv_0_task_9
Layered FP + Ridge Classifier,0.4,0.3333333333333333,0.5,cv_0_task_10
Layered FP + Ridge Classifier,0.962962962962963,0.9285714285714286,1.0,cv_0_task_11
Layered FP + Ridge Classifier,0.9782608695652174,0.9574468085106383,1.0,cv_0_task_12
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_13
Layered FP + Ridge Classifier,0.972972972972973,1.0,0.9473684210526315,cv_0_task_14
Layered FP + Ridge Classifier,0.9090909090909091,1.0,0.8333333333333334,cv_1_task_0
Layered FP + Ridge Classifier,0.888888888888889,0.8,1.0,cv_1_task_1
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_2
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_3
Layered FP + Ridge Classifier,0.8,0.6666666666666666,1.0,cv_1_task_4
Layered FP + Ridge Classifier,0.875,0.875,0.875,cv_1_task_5
Layered FP + Ridge Classifier,0.6666666666666666,1.0,0.5,cv_1_task_6
Layered FP + Ridge Classifier,0.7499999999999999,1.0,0.6,cv_1_task_7
Layered FP + Ridge Classifier,0.888888888888889,1.0,0.8,cv_1_task_8
Layered FP + Ridge Classifier,0.9,0.9,0.9,cv_1_task_9
Layered FP + Ridge Classifier,0.4,1.0,0.25,cv_1_task_10
Layered FP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_1_task_11
Layered FP + Ridge Classifier,0.9743589743589743,0.9743589743589743,0.9743589743589743,cv_1_task_12
Layered FP + Ridge Classifier,0.9846153846153847,0.9696969696969697,1.0,cv_1_task_13
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_14
Layered FP + Ridge Classifier,0.9333333333333333,1.0,0.875,cv_2_task_0
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_1
Layered FP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_2_task_2
Layered FP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_2_task_3
Layered FP + Ridge Classifier,0.8,1.0,0.6666666666666666,cv_2_task_4
Layered FP + Ridge Classifier,0.3333333333333333,0.3333333333333333,0.3333333333333333,cv_2_task_5
Layered FP + Ridge Classifier,0.8,0.7692307692307693,0.8333333333333334,cv_2_task_6
Layered FP + Ridge Classifier,0.7777777777777778,1.0,0.6363636363636364,cv_2_task_7
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_8
Layered FP + Ridge Classifier,0.761904761904762,0.8,0.7272727272727273,cv_2_task_9
Layered FP + Ridge Classifier,0.888888888888889,1.0,0.8,cv_2_task_10
Layered FP + Ridge Classifier,0.888888888888889,0.8,1.0,cv_2_task_11
Layered FP + Ridge Classifier,0.9599999999999999,0.972972972972973,0.9473684210526315,cv_2_task_12
Layered FP + Ridge Classifier,0.9696969696969697,0.9696969696969697,0.9696969696969697,cv_2_task_13
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_14
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_0
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_1
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_2
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_3
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_4
Layered FP + Ridge Classifier,0.7272727272727272,0.8,0.6666666666666666,cv_3_task_5
Layered FP + Ridge Classifier,0.888888888888889,1.0,0.8,cv_3_task_6
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_7
Layered FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_8
Layered FP + Ridge Classifier,0.7272727272727272,0.8,0.6666666666666666,cv_3_task_9
Layered FP + Ridge Classifier,0.8,1.0,0.6666666666666666,cv_3_task_10
Layered FP + Ridge Classifier,0.9230769230769231,0.9473684210526315,0.9,cv_3_task_11
Layered FP + Ridge Classifier,0.968421052631579,0.9583333333333334,0.9787234042553191,cv_3_task_12
Layered FP + Ridge Classifier,0.983050847457627,0.9666666666666667,1.0,cv_3_task_13
Layered FP + Ridge Classifier,0.9714285714285714,1.0,0.9444444444444444,cv_3_task_14
Layered FP + Ridge Classifier,0.9523809523809523,0.9090909090909091,1.0,cv_4_task_0
