,compound,precursor
0,C00190,C01477;C05908;C05905;C00235;C05904;C05903
1,C00223,C00079
2,C00323,C00079
3,C00482,C05908;C05905;C00079;C05904
4,C01175,C05908;C05905;C00079;C05904
5,C00083,C00079
6,C02199,C01477;C05908;C05905;C05904;C05903;C00223;C00540
7,C00167,C00082
8,C12137,C05908;C05905;C05904
9,C08604,C05908;C05905;C05904
10,C12138,C05908;C05905;C05904
11,C12095,C05908;C05905;C05904
12,C08639,C05908;C05905;C05904
13,C12096,C05908;C05905;C05904
14,C12141,C05908;C05905;C05904
15,C12139,C05908;C05905;C05904
16,C12140,C05908;C05905;C05904
17,C12640,C05908;C05905;C05904
18,C12641,C05908;C05905;C05904
19,C12647,C05908;C05905;C05904
20,C12642,C05908;C05905;C05904
21,C12644,C05908;C05905;C05904
22,C12645,C05908;C05905;C05904
23,C12643,C05908;C05905;C05904
24,C08620,C05908;C05905;C05904
25,C12646,C05908;C05905;C05904
26,C16297,C05908;C05905;C05904
27,C08725,C05908;C05905;C05904
28,C16305,C05908;C05905;C05904
29,C16306,C05908;C05905;C05904
30,C16307,C05908;C05905;C05904
31,C16349,C05908;C05905;C05904
32,C16350,C05908;C05905;C05904
33,C16312,C05908;C05905;C05904
34,C16351,C05908;C05905;C05904
35,C16288,C05908;C05905;C05904
36,C16289,C05908;C05905;C05904
37,C16301,C05908;C05905;C05904
38,C16290,C05908;C05905;C05904
39,C16292,C05908;C05905;C05904
40,C16293,C05908;C05905;C05904
41,C16315,C05908;C05905;C05904
42,C16294,C05908;C05905;C05904
43,C16295,C05908;C05905;C05904
44,C16296,C05908;C05905;C05904
45,C16298,C05908;C05905;C05904
46,C16299,C05908;C05905;C05904
47,C16314,C05908;C05905;C05904
48,C16304,C05908;C05905;C05904
49,C16303,C05908;C05905;C05904
50,C16302,C05908;C05905;C05904
51,C16313,C05908;C05905;C05904
52,C16354,C05908;C05905;C05904
53,C08641,C05908;C05905;C05904
54,C16367,C05908;C05905;C05904
55,C16368,C05908;C05905;C05904
56,C16369,C05908;C05905;C05904
57,C16370,C05908;C05905;C05904
58,C16371,C05908;C05905;C05904
59,C16372,C05908;C05905;C05904
60,C16373,C05908;C05905;C05904
61,C19762,C05908;C05905;C05904
62,C20470,C05908;C05905;C05904
63,C06672,C05908;C05905;C05904
64,C20469,C05908;C05905;C05904
65,C20489,C05908;C05905;C05904
66,C20490,C05908;C05905;C05904
67,C20491,C05908;C05905;C05904
68,C20492,C05908;C05905;C05904
69,C20493,C05908;C05905;C05904
70,C20494,C05908;C05905;C05904
71,C20495,C05908;C05905;C05904
72,C20496,C05908;C05905;C05904
