,compound,precursor
1,C00423,C00079
2,C00811,C00079
3,C05608,C00079
4,C00223,C00079
5,C10945,C00079
6,C00323,C00079
7,C00406,C00079
8,C01197,C00079
9,C00296,C00079
10,C00852,C00079
11,C02666,C00079
12,C01494,C00079
13,C05610,C00079
14,C00411,C00079
15,C00482,C00079
16,C05619,C00079
17,C01175,C00079
18,C00933,C00079
19,C00114,C00079
20,C00493,C00079
21,C02947,C00079
22,C00903,C00079
23,C00590,C00079
24,C00761,C00079
25,C05627,C00079
26,C00149,C00079
27,C02887,C00079
28,C04366,C00079
29,C06224,C00079
30,C01533,C00079
31,C02325,C00079
32,C02646,C00079
33,C05855,C00079
34,C12208,C00079
35,C12203,C00079
36,C12204,C00079
37,C12205,C00079
38,C12206,C00079
39,C10434,C00079
40,C10469,C00079
41,C10478,C00079
42,C00315,C00079
43,C18069,C00079
44,C18070,C00079
45,C18071,C00079
46,C18072,C00079
47,C18073,C00079
48,C20225,C00079
49,C10453,C00079
50,C20465,C00079
51,C16930,C00079
52,C10454,C00079
53,C10452,C00079
54,C20464,C00079
55,C10428,C00079
