,compound,precursor
4,C01477,C00509
6,C12123,C09762
7,C06563,C00509
8,C00814,C00509
9,C09126,C00509
10,C02675,C00509
11,C00858,C09762
12,C01562,C09762
13,C04271,C09762
14,C01263,C09762
15,C03567,C09762
16,C02495,C09762
17,C02920,C09762
18,C12135,C00509
19,C00786,C09762
20,C10208,C09762
21,C12134,C00509
22,C12631,C00509
23,C10521,C00509
24,C05376,C00509
25,C12625,C00509
26,C15509,C09762
27,C10422,C09762
28,C15511,C09762
29,C15510,C09762
30,C01701,C09762
31,C15567,C09762
32,C16232,C09762
33,C16233,C09762
34,C14314,C09762
35,C14536,C09762
36,C16195,C09762
37,C16197,C09762
38,C10216,C09762
39,C16191,C09762
40,C16190,C09762
41,C12125,C09762
42,C10200,C09762
43,C10205,C09762
44,C10509,C09762
45,C16222,C09762
46,C16188,C09762
47,C16189,C09762
48,C16187,C09762
49,C10503,C09762
50,C16225,C09762
51,C16223,C09762
52,C16224,C09762
53,C07593,C09762
54,C10522,C09762
55,C16226,C09762
56,C16227,C09762
57,C16229,C09762
58,C16230,C09762
59,C10516,C09762
60,C16228,C09762
61,C10502,C09762
62,C10538,C09762
63,C16231,C09762
64,C16192,C00509
65,C10520,C00509
66,C19727,C00509
