,compound,precursor
0,C00080,C00123;C00079;C00078;C00082;C00073
1,C00235,C00079
2,C00323,C00079
3,C00406,C00079
4,C00296,C00079
5,C00852,C00079
6,C00493,C00079
7,C02947,C00079
8,C12208,C00079
9,C10434,C00079
10,C00083,C00079
11,C06561,C00223;C00540
12,C01617,C00223;C00540
13,C00389,C00079
14,C00509,C00079
15,C05631,C00223;C00540
16,C00974,C00223;C00540
17,C01477,C00079
18,C09099,C00223;C00540
19,C03648,C00223;C00540
20,C05903,C00079
21,C01514,C00079
22,C05906,C00223;C00540
23,C02906,C00223;C00540
24,C05904,C00079
25,C05907,C00223;C00540
26,C05911,C00223;C00540
27,C05905,C00079
28,C05908,C00079
29,C05909,C00223;C00540
30,C06562,C00223;C00540
31,C12127,C00223;C00540
32,C10107,C00079
33,C12128,C00223;C00540
34,C09727,C00223;C00540
35,C12136,C00223;C00540
36,C10192,C00223;C00540
37,C08650,C00223;C00540
38,C09762,C00079
39,C12124,C00223;C00540
40,C09320,C00223;C00540
41,C02199,C00079
42,C09789,C00223;C00540
43,C01460,C00079
44,C12123,C00079
45,C16404,C00223;C00540
46,C15525,C00223;C00540
47,C16405,C00223;C00540
48,C09827,C00223;C00540
49,C09756,C00223;C00540
50,C09826,C00223;C00540
51,C08578,C00223;C00540
52,C09614,C00223;C00540
53,C09751,C00223;C00540
54,C01378,C00223;C00540
55,C16415,C00223;C00540
56,C09736,C00223;C00540
57,C16416,C00223;C00540
58,C16417,C00223;C00540
59,C16407,C00223;C00540
60,C16408,C00223;C00540
61,C16409,C00223;C00540
62,C16410,C00223;C00540
63,C16406,C00223;C00540
64,C01709,C00223;C00540
65,C16422,C00223;C00540
66,C09806,C00223;C00540
67,C16418,C00223;C00540
68,C16419,C00223;C00540
69,C10028,C00223;C00540
70,C10044,C00223;C00540
71,C16492,C00223;C00540
72,C09833,C00223;C00540
73,C00774,C00223;C00540
74,C01604,C00223;C00540
75,C21913,C00223;C00540
76,C05334,C00223;C00540
77,C22048,C00223;C00540
