"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"ID","NA","NA","NA","NA","NA","NA","NA","0"
"2483","Adenosyl cobyrinate hexaamide","METPA0830",NA,"2483","C06507",NA,NA,"1"
"3789","Cobalt-dihydro-precorrin 6","METPA1040",NA,"3789","C11543",NA,NA,"1"
"3790","Cobalt-sirohydrochlorin","METPA1036",NA,"3790","C11538",NA,NA,"1"
"3791","Cobalt-precorrin 3","METPA1037",NA,"3791","C11539",NA,NA,"1"
"3792","Cobalt-precorrin 4","METPA1038",NA,"3792","C11540",NA,NA,"1"
"3793","NA","NA","NA","NA","NA","NA","NA","0"
"3794","Cobalt-precorrin 6","METPA1039",NA,"3794","C11542",NA,NA,"1"
"3795","Cobalt-precorrin 8","METPA1042",NA,"3795","C11545",NA,NA,"1"
"3796","NA","NA","NA","NA","NA","NA","NA","0"
"15431","Magnesium protoporphyrin","METPA0404",NA,"15431","C03516",NA,NA,"1"
"16379","NA","NA","NA","NA","NA","NA","NA","0"
"16430","Precorrin 4","METPA0817",NA,"16430","C06407",NA,NA,"1"
"17926","Hydrogenobyrinate","METPA0815",NA,"17926","C06399",NA,NA,"1"
"22686","NA","NA","NA","NA","NA","NA","NA","0"
"23339","NA","NA","NA","NA","NA","NA","NA","0"
"23345","NA","NA","NA","NA","NA","NA","NA","0"
"23378","NA","NA","NA","NA","NA","NA","NA","0"
"23388","NA","NA","NA","NA","NA","NA","NA","0"
"24040","NA","NA","NA","NA","NA","NA","NA","0"
"24041","NA","NA","NA","NA","NA","NA","NA","0"
"24875","NA","NA","NA","NA","NA","NA","NA","0"
"25111","NA","NA","NA","NA","NA","NA","NA","0"
"25216","NA","NA","NA","NA","NA","NA","NA","0"
"25372","NA","NA","NA","NA","NA","NA","NA","0"
"25516","NA","NA","NA","NA","NA","NA","NA","0"
"26213","NA","NA","NA","NA","NA","NA","NA","0"
"26214","NA","NA","NA","NA","NA","NA","NA","0"
"26228","NA","NA","NA","NA","NA","NA","NA","0"
"26461","NA","NA","NA","NA","NA","NA","NA","0"
"27513","Precorrin 6X","METPA0806",NA,"27513","C06320",NA,NA,"1"
"27630","Precorrin 5","METPA0819",NA,"27630","C06416",NA,NA,"1"
"27711","Precorrin 3B","METPA0816",NA,"27711","C06406",NA,NA,"1"
"27858","Precorrin 6Y","METPA0805",NA,"27858","C06319",NA,NA,"1"
"27914","Hydrogenobyrinate a,c diamide","METPA0828",NA,"27914","C06503",NA,NA,"1"
"28307","Precorrin 3A","METPA0678",NA,"28307","C05772",NA,NA,"1"
"28629","Precorrin 8X","METPA0818",NA,"28629","C06408",NA,NA,"1"
"28783","NA","NA","NA","NA","NA","NA","NA","0"
"28966","NA","NA","NA","NA","NA","NA","NA","0"
"29035","Manganese","HMDB0001333","27854","29035","C19610",NA,"[Mn++]","1"
"29037","NA","NA","NA","NA","NA","NA","NA","0"
"30033","Bacterio-chlorophyll a","MA3TEM078","13420","30033","C11242",NA,"C1CCCCCC(=O)CCCC1","1"
"30034","bacterio-chlorophyll b","MA3TEM079","13421","30034","C11243",NA,"CC[NH+]1CC2CCC(C1)(C2(C)C)C.[Cl-]","1"
"30399","NA","NA","NA","NA","NA","NA","NA","0"
"30409","NA","NA","NA","NA","NA","NA","NA","0"
"30788","NA","NA","NA","NA","NA","NA","NA","0"
"33002","NA","NA","NA","NA","NA","NA","NA","0"
"33003","NA","NA","NA","NA","NA","NA","NA","0"
"33004","NA","NA","NA","NA","NA","NA","NA","0"
"33005","NA","NA","NA","NA","NA","NA","NA","0"
"33222","NA","NA","NA","NA","NA","NA","NA","0"
"33906","NA","NA","NA","NA","NA","NA","NA","0"
"33907","Cobyrinate","METPA0679",NA,"33907","C05773",NA,NA,"1"
"33908","NA","NA","NA","NA","NA","NA","NA","0"
"33910","NA","NA","NA","NA","NA","NA","NA","0"
"33913","NA","NA","NA","NA","NA","NA","NA","0"
"35104","Strontium","HMDB0003642","104798","35104","C13884",NA,"[Sr++]","1"
"35169","NA","NA","NA","NA","NA","NA","NA","0"
"35172","NA","NA","NA","NA","NA","NA","NA","0"
"36079","NA","NA","NA","NA","NA","NA","NA","0"
"36158","NA","NA","NA","NA","NA","NA","NA","0"
"36177","NA","NA","NA","NA","NA","NA","NA","0"
"36303","NA","NA","NA","NA","NA","NA","NA","0"
"36304","NA","NA","NA","NA","NA","NA","NA","0"
"36321","NA","NA","NA","NA","NA","NA","NA","0"
"37136","Barium","HMDB0004142","104810","37136","C13881",NA,"[Ba++]","1"
