compound,precursor
C00223,C00540;C00079
C00323,C00540;C00079
C00406,C00540;C00079
C00296,C00540;C00079
C00852,C00540;C00079
C00493,C00540;C00079
C02947,C00540;C00079
C12208,C00540;C00079
C10434,C00540;C00079
C00083,C00540;C00079
C03582,C00540;C00079
C01745,C00540;C00079
C05901,C00540;C00079
C05270,C00540;C00079
C17744,C00540;C00079
C17746,C00540;C00079
C17747,C00540;C00079
C17745,C00540;C00079
C17748,C00540;C00079
C10462,C00540;C00079
C17740,C00540;C00079
C17741,C00540;C00079
C17743,C00540;C00079
C17742,C00540;C00079
C10443,C00540;C00079
C17749,C00540;C00079
C17750,C00540;C00079
C10287,C00540;C00079
C00423,C00079
C00811,C00079
C05608,C00079
C00223,C00079
C10945,C00079
C00323,C00079
C00406,C00079
C01197,C00079
C00296,C00079
C00852,C00079
C02666,C00079
C01494,C00079
C05610,C00079
C00411,C00079
C00482,C00079
C05619,C00079
C01175,C00079
C00933,C00079
C00114,C00079
C00493,C00079
C02947,C00079
C00903,C00079
C00590,C00079
C00761,C00079
C05627,C00079
C00149,C00079
C02887,C00079
C04366,C00079
C06224,C00079
C01533,C00079
C02325,C00079
C02646,C00079
C05855,C00079
C12208,C00079
C12203,C00079
C12204,C00079
C12205,C00079
C12206,C00079
C10434,C00079
C10469,C00079
C10478,C00079
C00315,C00079
C18069,C00079
C18070,C00079
C18071,C00079
C18072,C00079
C18073,C00079
C20225,C00079
C10453,C00079
C20465,C00079
C16930,C00079
C10454,C00079
C10452,C00079
C20464,C00079
C10428,C00079
C12137,C05904;C00079
C08604,C05905;C00079
C12138,C05908;C00079
C12095,C05905;C00079
C08639,C05905;C00079
C12096,C05905;C00079
C12141,C05905;C00079
C12139,C05908;C00079
C12140,C05908;C00079
C12640,C05904;C00079
C12641,C05904;C00079
C12647,C05904;C00079
C12642,C05904;C00079
C12644,C05904;C00079
C12645,C05904;C00079
C12643,C05905;C00079
C08620,C05905;C00079
C12646,C05905;C00079
C16297,C05904;C00079
C08725,C05904;C00079
C16305,C05904;C00079
C16306,C05905;C00079
C16307,C05908;C00079
C16349,C05904;C00079
C16350,C05905;C00079
C16312,C05908;C00079
C16351,C05908;C00079
C16288,C05904;C00079
C16289,C05905;C00079
C16301,C05908;C00079
C16290,C05908;C00079
C16292,C05905;C00079
C16293,C05905;C00079
C16315,C05908;C00079
C16294,C05908;C00079
C16295,C05908;C00079
C16296,C05908;C00079
C16298,C05905;C00079
C16299,C05905;C00079
C16314,C05908;C00079
C16304,C05908;C00079
C16303,C05908;C00079
C16302,C05908;C00079
C16313,C05908;C00079
C16354,C05908;C00079
C08641,C05908;C00079
C16367,C05908;C00079
C16368,C05904;C00079
C16369,C05905;C00079
C16370,C05908;C00079
C16371,C05904;C00079
C16372,C05905;C00079
C16373,C05905;C00079
C19762,C05905;C00079
C20469,C05905;C00079
C20489,C05904;C00079
C20490,C05905;C00079
C20491,C05908;C00079
C20492,C05904;C00079
C20493,C05905;C00079
C20494,C05908;C00079
C20495,C05904;C00079
C20496,C05908;C00079
C01477,C00509;C00079
C12123,C09762;C00079
C06563,C00509;C00079
C00814,C00509;C00079
C09126,C00509;C00079
C02675,C00509;C00079
C00858,C09762;C00079
C01562,C09762;C00079
C04271,C09762;C00079
C01263,C09762;C00079
C03567,C09762;C00079
C02495,C09762;C00079
C02920,C09762;C00079
C12135,C00509;C00079
C00786,C09762;C00079
C10208,C09762;C00079
C12134,C00509;C00079
C12631,C00509;C00079
C10521,C00509;C00079
C05376,C00509;C00079
C12625,C00509;C00079
C15509,C09762;C00079
C10422,C09762;C00079
C15511,C09762;C00079
C15510,C09762;C00079
C01701,C09762;C00079
C15567,C09762;C00079
C16232,C09762;C00079
C16233,C09762;C00079
C14314,C09762;C00079
C14536,C09762;C00079
C16195,C09762;C00079
C16197,C09762;C00079
C10216,C09762;C00079
C16191,C09762;C00079
C16190,C09762;C00079
C12125,C09762;C00079
C10200,C09762;C00079
C10205,C09762;C00079
