,compound,precursor
8,C12137,C05904
9,C08604,C05905
10,C12138,C05908
11,C12095,C05905
12,C08639,C05905
13,C12096,C05905
14,C12141,C05905
15,C12139,C05908
16,C12140,C05908
17,C12640,C05904
18,C12641,C05904
19,C12647,C05904
20,C12642,C05904
21,C12644,C05904
22,C12645,C05904
23,C12643,C05905
24,C08620,C05905
25,C12646,C05905
26,C16297,C05904
27,C08725,C05904
28,C16305,C05904
29,C16306,C05905
30,C16307,C05908
31,C16349,C05904
32,C16350,C05905
33,C16312,C05908
34,C16351,C05908
35,C16288,C05904
36,C16289,C05905
37,C16301,C05908
38,C16290,C05908
39,C16292,C05905
40,C16293,C05905
41,C16315,C05908
42,C16294,C05908
43,C16295,C05908
44,C16296,C05908
45,C16298,C05905
46,C16299,C05905
47,C16314,C05908
48,C16304,C05908
49,C16303,C05908
50,C16302,C05908
51,C16313,C05908
52,C16354,C05908
53,C08641,C05908
54,C16367,C05908
55,C16368,C05904
56,C16369,C05905
57,C16370,C05908
58,C16371,C05904
59,C16372,C05905
60,C16373,C05905
61,C19762,C05905
64,C20469,C05905
65,C20489,C05904
66,C20490,C05905
67,C20491,C05908
68,C20492,C05904
69,C20493,C05905
70,C20494,C05908
71,C20495,C05904
72,C20496,C05908
