,compound,precursor
7,C02947,C00223
8,C12208,C00223
9,C10434,C00223
11,C06561,C00223
12,C01617,C00223
13,C00389,C00223
14,C00509,C00223
15,C05631,C00223
16,C00974,C00223
17,C01477,C00223
18,C09099,C00223
19,C03648,C00223
20,C05903,C00223
21,C01514,C00223
22,C05906,C00223
23,C02906,C00223
24,C05904,C00223
25,C05907,C00223
26,C05911,C00223
27,C05905,C00223
28,C05908,C00223
29,C05909,C00223
30,C06562,C00223
31,C12127,C00223
32,C10107,C00223
33,C12128,C00223
34,C09727,C00223
35,C12136,C00223
36,C10192,C00223
37,C08650,C00223
38,C09762,C00223
39,C12124,C00223
40,C09320,C00223
42,C09789,C00223
43,C01460,C00223
44,C12123,C00223
45,C16404,C00540
46,C15525,C00223
47,C16405,C00223
48,C09827,C00540
49,C09756,C00223
50,C09826,C00540
51,C08578,C00223
52,C09614,C00223
53,C09751,C00223
54,C01378,C00223
55,C16415,C00223
56,C09736,C00223
57,C16416,C00223
58,C16417,C00223
59,C16407,C00223
60,C16408,C00223
61,C16409,C00223
62,C16410,C00223
63,C16406,C00223
64,C01709,C00223
65,C16422,C00223
66,C09806,C00223
67,C16418,C00540
68,C16419,C00540
69,C10028,C00540
70,C10044,C00540
71,C16492,C00223
72,C09833,C00223
73,C00774,C00223
74,C01604,C00223
75,C21913,C00223
76,C05334,C00223
77,C22048,C00223
