,compound,precursor
0,C00190,C00079
1,C00223,C00079
2,C00083,C00079
3,C10107,C01477;C05903;C01514;C00389;C00223;C00540
4,C02199,C00079
5,C01460,C01477;C05903;C01514;C00389;C00223;C00540
6,C04443,C01477;C00389;C01514;C05903
7,C05623,C01477;C00389;C01514;C05903
8,C00053,C00123;C01477;C00079;C00078;C00073;C01514;C00389;C00082;C05903
9,C00054,C00123;C01477;C00079;C00078;C00073;C01514;C00389;C00082;C05903
10,C00616,C01477;C00389;C01514;C05903
11,C01155,C01477;C00389;C01514;C05903
12,C01156,C01477;C00389;C01514;C05903
13,C03897,C01477;C00389;C01514;C05903
14,C01265,C01477;C00389;C01514;C05903
15,C04444,C01477;C00389;C01514;C05903
16,C04024,C01477;C00389;C01514;C05903
17,C01470,C01477;C00389;C01514;C05903
18,C04608,C01477;C00389;C01514;C05903
19,C04293,C01477;C00389;C01514;C05903
20,C03951,C01477;C00389;C01514;C05903
21,C00167,C00082
22,C03515,C01477;C00389;C01514;C05903
23,C01714,C01477;C00389;C01514;C05903
24,C04199,C01477;C00389;C01514;C05903
25,C01623,C01477;C00389;C01514;C05903
26,C04858,C01477;C00389;C01514;C05903
27,C05622,C01477;C00389;C01514;C05903
28,C05625,C01477;C00389;C01514;C05903
29,C12249,C01477;C00389;C01514;C05903
30,C12638,C01477;C00389;C01514;C05903
31,C12634,C01477;C00389;C01514;C05903
32,C12635,C01477;C00389;C01514;C05903
33,C12636,C01477;C00389;C01514;C05903
34,C10098,C01477;C00389;C01514;C05903
35,C00052,C01477;C00389;C01514;C05903
36,C12626,C01477;C00389;C01514;C05903
37,C03898,C01477;C00389;C01514;C05903
38,C10175,C01477;C00389;C01514;C05903
39,C12667,C01477;C00389;C01514;C05903
40,C12668,C01477;C00389;C01514;C05903
41,C12637,C01477;C00389;C01514;C05903
42,C12633,C01477;C00389;C01514;C05903
43,C11620,C01477;C00389;C01514;C05903
44,C12628,C01477;C00389;C01514;C05903
45,C12629,C01477;C00389;C01514;C05903
46,C12627,C01477;C00389;C01514;C05903
47,C12632,C01477;C00389;C01514;C05903
48,C04900,C01477;C00389;C01514;C05903
49,C12630,C01477;C00389;C01514;C05903
50,C00191,C01477;C00389;C01514;C05903
51,C16490,C01477;C00389;C01514;C05903
52,C16911,C01477;C00389;C01514;C05903
53,C01750,C01477;C00389;C01514;C05903
54,C19796,C01477;C00389;C01514;C05903
55,C21833,C01477;C00389;C01514;C05903
56,C21854,C01477;C00389;C01514;C05903
