,compound,precursor
0,C00080,C00123;C00079;C00078;C00082;C00073
1,C00235,C09762;C00509;C00223;C00540
2,C00083,C00079
3,C00509,C00223;C00540
4,C01477,C09762;C00509;C00223;C00540
5,C09762,C00223;C00540
6,C12123,C09762;C00509;C00223;C00540
7,C06563,C09762;C00509
8,C00814,C09762;C00509
9,C09126,C09762;C00509
10,C02675,C09762;C00509
11,C00858,C09762;C00509
12,C01562,C09762;C00509
13,C04271,C09762;C00509
14,C01263,C09762;C00509
15,C03567,C09762;C00509
16,C02495,C09762;C00509
17,C02920,C09762;C00509
18,C12135,C09762;C00509
19,C00786,C09762;C00509
20,C10208,C09762;C00509
21,C12134,C09762;C00509
22,C12631,C09762;C00509
23,C10521,C09762;C00509
24,C05376,C09762;C00509
25,C12625,C09762;C00509
26,C15509,C09762;C00509
27,C10422,C09762;C00509
28,C15511,C09762;C00509
29,C15510,C09762;C00509
30,C01701,C09762;C00509
31,C15567,C09762;C00509
32,C16232,C09762;C00509
33,C16233,C09762;C00509
34,C14314,C09762;C00509
35,C14536,C09762;C00509
36,C16195,C09762;C00509
37,C16197,C09762;C00509
38,C10216,C09762;C00509
39,C16191,C09762;C00509
40,C16190,C09762;C00509
41,C12125,C09762;C00509
42,C10200,C09762;C00509
43,C10205,C09762;C00509
44,C10509,C09762;C00509
45,C16222,C09762;C00509
46,C16188,C09762;C00509
47,C16189,C09762;C00509
48,C16187,C09762;C00509
49,C10503,C09762;C00509
50,C16225,C09762;C00509
51,C16223,C09762;C00509
52,C16224,C09762;C00509
53,C07593,C09762;C00509
54,C10522,C09762;C00509
55,C16226,C09762;C00509
56,C16227,C09762;C00509
57,C16229,C09762;C00509
58,C16230,C09762;C00509
59,C10516,C09762;C00509
60,C16228,C09762;C00509
61,C10502,C09762;C00509
62,C10538,C09762;C00509
63,C16231,C09762;C00509
64,C16192,C09762;C00509
65,C10520,C09762;C00509
66,C19727,C09762;C00509
